title,first name,last name,email,mobile,phone,fax,company name,website,Number of employee,lead source,lead status,annual revenue,rating,address1,address2,city distt,country,state province,pincode,description,feedback
,,,,9308984410,9308984410,,St. Michael High School Daltonganj ,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,incoming call not available,
,,,,8987658042,8987658042,,Patel Raman High School Daltonganj,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not connect,
,,,,9693982728,9693982728,,Gyanashram Residential High School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,explain about paatham will disscuss with principal and update me after chhath (sanjiv sir,
,,,,7481021354,7481021354,,Phoenix International School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,incoming call not available,
,,,,9504524177,9504524177,,Suffa International School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,invalid number,
,,,,7764843911,7764843911,,Dashmesh Model School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,WRONG NUMBER,
,,,,9431339449,9431339449,,Zenith Future Public School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,not answering,
,,,,7870223492,7870223492,,American Sla School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,call later,
,,,,7909079852,7909079852,,Rising Star Public School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,"call tomorrow for demo,school is newly running so planning to do",
,,,,8763809902,8763809902,,Nirala Primary School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,incoming call not available,
,,,,9430325395,9430325395,,Rajkrit Middle School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,govt school,
,,,,6201149183,6201149183,,Little stars play school,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,no requirement,
,,,,8521422982,8521422982,,Rajkiyakrit Sttaronnat High School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,govt school,
,,,,9546928567,9546928567,,Ums Hisra Pokhraha School,,,Google,,,,Palamu,Palamu,Palamu,India,Jharkhand,822102,govt school,
,,,,6546267191,6546267191,,St. Xavier's School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,school is on leave call on Monday,
,,,,6546262518,6546262518,,Angels High School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,invalid number,
,,,,9431155277,9431155277,,Mount Carmel School Hazaribagh,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,6546272337,6546272337,,Holy Cross School Hazaribag,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already have,
,,,,6546264769,6546264769,,Mount Egmont School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,6546223493,6546223493,,St. Stephen's School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,6546262987,6546262987,,Indira Gandhi Balika Vidyalaya,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,invalid number,
,,,davpshzb123@gmail.com,6546260345,6546260345,,DAV Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,email sent,
,,,,9546602289,9546602289,,City School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not connect,
,,,,6546262518,6546262518,,Little Angel School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,didn’t connect,
,,,,9162133212,9162133212,,Delhi Public School Hazaribagh,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already have,
,,,,9430786936,9430786936,,Saraswati Shishu Vidya Mandir,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already have,
,,,,6553256623,6553256623,,AGRASEN DAV PUB. SCHOOL,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not connect,
,,,,6553275730,6553275730,,O P JINDAL SCHOOL,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,invalid number,
,,,,6553225926,6553225926,,RADHA GOVIND PUBLIC SCHOOL,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not connect,
,,,,6553222091,6553222091,,"
SRI GURU NANAK PUBLIC SCHOOL",,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,service not available,
,,,,6553225318,6553225318,,SRI KRISHNA VIDYA MANDIR,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,invalid number,
,,,,6546223493,6546223493,,ST STEPHEN'S SCHOOL,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,6546260486,6546260486,,"
MUNAM PUBLIC SCHOOL",,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,invalid number,
,,,,6542253543,6542253543,,BAL VIDYA MANDIR,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,8986869416,8986869416,,Gul Mohor Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,6546262518,6546262518,,Angel's High School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,didn’t connect,
,,,,9431975521,9431975521,,Ims Mmm English Medium School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already have,
,,,,9546602289,9546602289,,City School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,he is in leave call after 4th nov ,
,,,,9905551698,9905551698,,Oasis School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already have,
,,,,8092666803,8092666803,,Gyan Bharti High School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,9470965666,9470965666,,Gyanoday Vikash School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already have,
,,,,9967361339,9967361339,,Bishnugarh High School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,WRONG NUMBER,
,,,,8789460519,8789460519,,The Kids Citi Play School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already have,
,,,,9430794122,9430794122,,Prajapati Shishu Vidya Niketan,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,seshlal prajapati)wants to discuss 20k offered call on 5th nov,
,,,,9801759231,9801759231,,Global Indian School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already using software,
,,,,8521066026,8521066026,,Academic Heights Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,incoming call not available,
,,,,9708115980,9708115980,,Great Icons Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,9905199650,9905199650,,N S C Bose Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,call tomorrow after 10'o'clock,
,,,,8709755267,8709755267,,New Delhi Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,switch off,
,,,,8294053700,8294053700,,Kasiyadih Middle School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,govt school,
,,,,6207872331,6207872331,,Trestairs Play School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,7209452976,7209452976,,Jmm Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,call busy,
,,,,9608903604,9608903604,,New Global Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,no requirement,
,,,,9876543210,9876543210,,Greenland Public School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,not answering,
,,,,9608319666,9608319666,,Lord Krishna School,,,Google,,,,Hazaribagh,Hazaribagh,Hazaribagh,India,Jharkhand,822102,already have,
